date,yhat,yhat_lower,yhat_upper
2016-04-05,1252.968443,1168.463461,1334.085617
2016-04-06,1254.134668,1178.545289,1337.180127
2016-04-07,1255.512006,1183.093264,1337.192437
2016-04-08,1257.697007,1173.736329,1338.519254
2016-04-11,1264.412614,1185.264167,1346.161685
2016-04-12,1265.167471,1184.678114,1351.293479
2016-04-13,1265.874096,1186.940998,1352.939413
2016-04-14,1267.141453,1187.112109,1343.851558
2016-04-15,1268.874408,1187.154425,1351.467981
2016-04-18,1270.809204,1188.154978,1349.918923
2016-04-19,1270.43714,1189.805367,1348.66283
2016-04-20,1270.534107,1189.165844,1351.448762
2016-04-21,1271.117394,1188.652188,1355.822372
2016-04-22,1271.564093,1184.715304,1349.280721
2016-04-25,1268.290929,1190.680782,1346.873857
2016-04-26,1267.038953,1182.810452,1349.26313
2016-04-27,1266.481471,1183.430802,1345.222117
2016-04-28,1266.406088,1184.094752,1343.437392
2016-04-29,1266.468758,1183.368693,1344.591617
2016-05-02,1268.415117,1182.336916,1343.19512
2016-05-03,1269.8432,1188.975455,1346.320914
2016-05-04,1270.746397,1189.055468,1348.319164
2016-05-05,1270.549934,1190.174312,1353.561738
2016-05-06,1269.43566,1186.322336,1346.156756
2016-05-09,1268.784502,1187.718712,1357.429762
2016-05-10,1270.008477,1188.900834,1353.688546
2016-05-11,1270.846846,1195.926029,1348.964515
2016-05-12,1271.021902,1188.747345,1348.567013
2016-05-13,1271.028672,1194.661794,1352.084397
2016-05-16,1274.957785,1194.059896,1355.364288
2016-05-17,1276.433942,1190.495361,1352.10145
2016-05-18,1277.159113,1195.36962,1356.619056
2016-05-19,1277.505858,1199.679658,1354.661596
2016-05-20,1278.193146,1199.056646,1361.278086
2016-05-23,1282.510964,1202.21432,1361.173263
2016-05-24,1282.833785,1206.29799,1367.258046
2016-05-25,1282.473533,1205.110924,1362.651682
2016-05-26,1282.134596,1201.506295,1358.486259
2016-05-27,1282.370456,1203.077881,1363.9619
2016-05-31,1286.435316,1207.267944,1363.983397
2016-06-01,1288.058497,1207.348996,1366.71548
2016-06-02,1290.065458,1211.694865,1363.339839
2016-06-03,1291.838984,1215.208793,1371.011372
2016-06-06,1291.061116,1209.767043,1368.877513
2016-06-07,1290.322307,1209.264642,1372.811091
2016-06-08,1290.560937,1215.768728,1374.271712
2016-06-09,1291.534978,1212.450236,1371.301162
2016-06-10,1292.424126,1211.618042,1375.422468
2016-06-13,1292.011323,1206.65635,1366.598487
2016-06-14,1292.565746,1212.099794,1371.063282
2016-06-15,1293.786922,1217.375175,1371.080346
2016-06-16,1294.963081,1215.807542,1378.538658
2016-06-17,1295.447563,1220.344821,1375.483083
2016-06-20,1295.379388,1216.321365,1376.198322
2016-06-21,1296.309043,1215.189982,1378.54673
2016-06-22,1297.170019,1218.927361,1385.81815
2016-06-23,1297.264512,1217.231576,1382.263208
2016-06-24,1296.470198,1216.553513,1381.807945
2016-06-27,1294.44592,1218.135213,1375.105744
2016-06-28,1294.781803,1220.974973,1373.787936
2016-06-29,1295.209595,1213.56254,1379.534867
2016-06-30,1295.699135,1215.810662,1380.776596
2016-07-01,1296.55062,1212.394965,1380.552288
2016-07-05,1300.512125,1220.877475,1379.036501
2016-07-06,1298.725982,1218.341043,1370.776804
2016-07-07,1296.913358,1213.642178,1375.679387
2016-07-08,1295.99211,1213.914006,1375.695008
2016-07-11,1297.236981,1214.628146,1373.136221
2016-07-12,1297.038555,1221.874679,1371.553632
2016-07-13,1296.773773,1214.835276,1381.900082
2016-07-14,1297.211637,1217.377536,1380.897863
2016-07-15,1298.638357,1214.968611,1378.524269
2016-07-18,1303.308243,1221.438747,1384.845062
2016-07-19,1304.086391,1225.475365,1383.305017
2016-07-20,1305.3042,1221.585109,1380.234265
2016-07-21,1307.297851,1227.303202,1391.362807
2016-07-22,1309.675014,1230.605233,1399.729082
2016-07-25,1313.110945,1233.219532,1394.243404
2016-07-26,1313.497555,1228.228596,1395.34761
2016-07-27,1314.408601,1235.885083,1393.482606
2016-07-28,1315.828913,1237.159146,1400.42496
2016-07-29,1317.373045,1237.80105,1399.537852
2016-08-01,1321.921843,1241.903994,1403.709274
2016-08-02,1323.857594,1243.58198,1398.422136
2016-08-03,1325.388213,1243.874745,1407.821875
2016-08-04,1325.747312,1248.047331,1406.231738
2016-08-05,1324.700684,1240.083633,1410.549148
2016-08-08,1320.374139,1237.731523,1405.763036
2016-08-09,1320.169392,1238.282256,1400.6975
2016-08-10,1319.778701,1235.465063,1402.332179
2016-08-11,1318.606754,1237.201177,1401.359849
2016-08-12,1316.819541,1236.023989,1401.194774
2016-08-15,1314.143594,1236.204507,1391.837302
2016-08-16,1313.993782,1234.239717,1393.747088
2016-08-17,1313.237473,1233.373154,1395.408876
2016-08-18,1311.91246,1237.629266,1396.094862
2016-08-19,1310.672216,1225.096416,1391.165324
2016-08-22,1310.63531,1230.633622,1389.33767
